Plan Name,Advisor,Branch Location,Rep,Status,Implementation Contact,2024/2025 Work,Case Notes,"Conversion, TPA Change of Record or Startup, Solo",Assets,Flow,Participants,Verfied Assets/Parts,5 bps Y or N,First Billed Date,Admin Assigned,Installation Payment Date,Installation payment,Provider,Document,Projected Installation Payment,Ongoing 5 bps,Total 1 Yr RK,Annual Admin (Base Fee),Audit,New Comparability,Participant Fee,Additional bps built in,Participant Fee Total,Total 1st Yr TPA,2nd Year TPA,Hard Dollar w/o Rev Share
"Carrco Painting Contractors, Inc. ",Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,"$1,496,216 ",$0 ,36,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,$748 ,$748 ,$0 ,,,$55 ,,"$1,980 ","$2,354 ","$2,728 ","$1,980 "
Central Oregon Collective 401(k) PS,Brian Heinke,IMA,Dean,,,2023,,Conversion,"$115,436 ",$0 ,46,SB 170,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$2,208 ","$4,658 ","$4,658 ","$4,658 "
Cherry Creek North BID Retirement (457),Samantha Jenkins,IMA,Dean,,,2023,,Conversion,"$503,875 ",$0 ,15,SB 21,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,$720 ,"$3,170 ","$3,170 ","$3,170 "
Cherry Creek North BID Retirement (401a),Samantha Jenkins,IMA,Dean,,,2023,,Conversion,"$1,835,035 ",$0 ,19,Y,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,$912 ,"$3,362 ","$3,362 ","$3,362 "
ColdQuanta Inc,Brian Heinke,IMA,Dean,,,2023,,Conversion,"$13,565,411 ",$0 ,185,SB 264,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$8,880 ","$11,330 ","$11,330 ","$11,330 "
"Cunningham Swaim, LLP",Michael Waldman,IMA,Dean,,,2023,,Conversion,"$8,235,416 ",$0 ,27,SB 40,n,2023,Kim,,n,T Rowe Price,"$1,300 ",$0 ,$0 ,"$1,300 ","$2,450 ",,,$48 ,,"$1,296 ","$5,046 ","$3,746 ","$3,746 "
D7 Endurance Building Systems,Dan Dillard,SW ERP,Joe,,,2023,3(16),TPA Change,"$671,000 ","$100,000 ",143,Y,y,2023,Kim,,n,Transamerica,$0 ,$0 ,$336 ,$336 ,"$3,400 ",,,$30 ,,"$4,290 ","$7,858 ","$8,026 ","$7,690 "
Delta Health Coaching  - OME,Shawn Oram,BON MEP,,Active,250,25,0,0,$0 ,$0 ,0,,n,2024,Crissy,,n,Empower,$0 ,$0 ,$0 ,$0 ,$250 ,,,$25 ,,$0 ,$250 ,$250 ,$250 
"Digby's Market, LLC",Shawn Oram,AFS - MEP Plan,,Active,1200,15,0,0,"$93,766 ",$0 ,43,,n,2024,Crissy,,n,Transamerica,$0 ,$0 ,$0 ,$0 ,"$1,200 ",,,$15 ,,$645 ,"$1,845 ","$1,845 ","$1,845 "
Domino Equipment Company Inc.,Michael Waldman,IMA,Dean,,,2023,,Conversion,"$3,560,000 ",$0 ,56,SB 164,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$2,688 ","$5,138 ","$5,138 ","$5,138 "
