Total Fees by Contract,,,,,,,,,
"Executive Retirement Plans, LLC TPA(508420) ",,,,,,,,,
10/1/2023 - 9/30/2025,,,,,,,,,
,,,,,,,,,
Contract ID,Sub ID,Company Name,Fee Type,Total,,,,,
812539,00000,Parts And Screens dba Brown Manufacturing,Service Fee Income,"12,307.76",,,,,
812539,00000,Parts And Screens dba Brown Manufacturing,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"12,757.76",,,,,
,,,,,,,,,
812623,00000,B&L Systems LLC dba Fifth Wheel Freight,Transaction Fees,"2,850.00",,,,,
812623,00000,B&L Systems LLC dba Fifth Wheel Freight,Service Fee Income,"9,046.73",,,,,
812623,00000,B&L Systems LLC dba Fifth Wheel Freight,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"11,896.73",,,,,
,,,,,,,,,
812630,00000,"The Cottage Company of Harbor Springs, LLC",Transaction Fees,225.00,,,,,
812630,00000,"The Cottage Company of Harbor Springs, LLC",Service Fee Income,"2,156.30",,,,,
812630,00000,"The Cottage Company of Harbor Springs, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"2,381.30",,,,,
,,,,,,,,,
812662,00000,"Wentworth Builders, Inc.",Transaction Fees,0.00,,,,,
812662,00000,"Wentworth Builders, Inc.",Service Fee Income,"4,759.36",,,,,
812662,00000,"Wentworth Builders, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"4,759.36",,,,,
,,,,,,,,,
812718,00000,Triangle Wellness & Recovery PLLC,Transaction Fees,75.00,,,,,
812718,00000,Triangle Wellness & Recovery PLLC,Service Fee Income,487.50,,,,,
812718,00000,Triangle Wellness & Recovery PLLC,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,562.50,,,,,
,,,,,,,,,
812831,00000,Waste Recovery Systems,Transaction Fees,75.00,,,,,
812831,00000,Waste Recovery Systems,Service Fee Income,"2,512.68",,,,,
812831,00000,Waste Recovery Systems,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"2,587.68",,,,,
,,,,,,,,,
812833,00000,SES Environmental,Transaction Fees,375.00,,,,,
812833,00000,SES Environmental,Service Fee Income,657.38,,,,,
812833,00000,SES Environmental,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"1,032.38",,,,,
,,,,,,,,,
812930,00000,Cadillac Coffee Company,Transaction Fees,"2,762.87",,,,,
812930,00000,Cadillac Coffee Company,Service Fee Income,"1,402.51",,,,,
812930,00000,Cadillac Coffee Company,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"4,165.38",,,,,
,,,,,,,,,
